(75015, 0.9445311)
(149179, 0.9445311)
(58634, 0.9445311)
(373637, 0.94335463)
(314785, 0.94335463)
(36469, 0.94335463)
(35670, 0.94335463)
(185792, 0.94335463)
(289769, 0.94335463)
(133069, 0.94335463)
(414214, 0.94335463)
(405326, 0.94334767)
(247093, 0.94334767)
(208002, 0.94334767)
(210273, 0.94334767)
(6712, 0.94334767)
(150332, 0.94334063)
(245443, 0.94334063)
(54018, 0.94217816)
(318486, 0.94217816)
(94575, 0.94217816)
(240304, 0.94217816)
(310812, 0.94217816)
(225118, 0.94217816)
(370636, 0.94217816)
(253061, 0.94217816)
(110353, 0.94217816)
(148592, 0.94217816)
(159337, 0.94217816)
(146223, 0.94217816)
(35805, 0.94217816)
(362595, 0.94217816)
(286367, 0.94217816)
(190972, 0.94217816)
(110166, 0.94217816)
(143032, 0.94217816)
(67892, 0.94217816)
(12110, 0.94217816)
(88344, 0.94217816)
(135664, 0.94217816)
(308218, 0.94217816)
(232586, 0.94217816)
(138454, 0.9421712)
(373926, 0.9421712)
(409651, 0.9421712)
(94085, 0.9421712)
(98611, 0.9421712)
(109381, 0.9421712)
(63106, 0.9421712)
(30633, 0.9421712)
(32848, 0.9421712)
(212556, 0.9421712)
(23055, 0.9421712)
(12537, 0.9421712)
(19901, 0.9421712)
(51622, 0.9421712)
(254999, 0.9421712)
(409544, 0.9421712)
(322355, 0.9421712)
(165015, 0.94216424)
(303663, 0.94216424)
(146048, 0.94216416)
(5649, 0.94216416)
(114637, 0.94216416)
(71161, 0.94216416)
(279468, 0.94216416)
(110990, 0.94216416)
(364068, 0.94216416)
(155688, 0.94216416)
(151466, 0.94216416)
(376618, 0.94215719)
(305776, 0.94215719)
(263304, 0.94215719)
(220533, 0.94100169)
(168173, 0.94100169)
(1533, 0.94100169)
(28692, 0.94100169)
(195129, 0.94100169)
(117567, 0.94100169)
(390051, 0.94100169)
(391717, 0.94100169)
(210445, 0.94100169)
(133, 0.94100169)
(395405, 0.94100169)
(87602, 0.94100169)
(247248, 0.94100169)
(320708, 0.94100169)
(267757, 0.94100169)
(66703, 0.94100169)
(74419, 0.94100169)
(154347, 0.94100169)
(15592, 0.94100169)
(187384, 0.94100169)
(395544, 0.94100169)
(266565, 0.94100169)
(294169, 0.94100169)
(412943, 0.94100169)
(288468, 0.94100169)
(280434, 0.94100169)
(165028, 0.94100169)
(86686, 0.94100169)
(270889, 0.94100169)
(248622, 0.94100169)
(177883, 0.94100169)
(283181, 0.94100169)
(21062, 0.94100169)
(250324, 0.94100169)
(221814, 0.94099473)
(76383, 0.94099473)
(247772, 0.94099473)
(274946, 0.94099473)
(209451, 0.94099473)
(401717, 0.94099473)
(47220, 0.94099473)
(345704, 0.94099473)
(355773, 0.94099473)
(143999, 0.94099473)
(304053, 0.94099473)
(185050, 0.94099473)
(263754, 0.94099473)
(79091, 0.94099473)
(234801, 0.94099473)
(123302, 0.94099473)
(332410, 0.94099473)
(394026, 0.94099473)
(207151, 0.94099473)
(263568, 0.94099473)
(397077, 0.94099473)
(64540, 0.94099473)
(301646, 0.94099473)
(151457, 0.94099473)
(183414, 0.94099473)
(123634, 0.94099473)
(182652, 0.94099473)
(96729, 0.94099473)
(55520, 0.94099473)
(355124, 0.94099473)
(78445, 0.94099473)
(249692, 0.94098777)
(398288, 0.94098777)
(392113, 0.94098777)
(296610, 0.94098777)
(115047, 0.94098777)
(89784, 0.94098777)
(37457, 0.94098777)
(186809, 0.94098777)
(320481, 0.94098769)
(141921, 0.94098769)
(268236, 0.94098769)
(367627, 0.94098769)
(150020, 0.94098769)
(110969, 0.94098769)
(377295, 0.94098769)
(130156, 0.94098769)
(39308, 0.94098769)
(290094, 0.94098769)
(258237, 0.94098769)
(73927, 0.94098769)
(308736, 0.94098769)
(48163, 0.94098769)
(48002, 0.94098769)
(391403, 0.94098769)
(54646, 0.94098769)
(125430, 0.94098769)
(78376, 0.94098769)
(64149, 0.94098769)
(112687, 0.94098072)
(376506, 0.94098072)
(276816, 0.94098072)
(234068, 0.94098072)
(349260, 0.94098072)
(257719, 0.94098072)
(213261, 0.94098072)
(403899, 0.94098072)
(282647, 0.94098072)
(123282, 0.94098072)
(317927, 0.94098072)
(301604, 0.94098072)
(277401, 0.94098072)
(210474, 0.94097368)
(406606, 0.94097368)
(168160, 0.94097368)
(286989, 0.94097368)
(383680, 0.94097368)
(122874, 0.9409668)
(164680, 0.94096672)
(163639, 0.94096672)
(137553, 0.94096672)
(90481, 0.93983218)
(193634, 0.93982522)
(154733, 0.93982522)
(92507, 0.93982522)
(51310, 0.93982522)
(400305, 0.93982522)
(13567, 0.93982522)
(371045, 0.93982522)
(195925, 0.93982522)
(159181, 0.93982522)
(54290, 0.93982522)
(375550, 0.93982522)
(44436, 0.93982522)
(269739, 0.93982522)
(270343, 0.93982522)
(184971, 0.93982522)
(19923, 0.93982522)
(305147, 0.93982522)
(255882, 0.93982522)
(106350, 0.93982522)
(243444, 0.93982522)
(184960, 0.93982522)
(94902, 0.93982522)
(295667, 0.93982522)
(187840, 0.93982522)
(177195, 0.93982522)
(93220, 0.93982522)
(95643, 0.93982522)
(322644, 0.93982522)
(70360, 0.93982522)
(106673, 0.93982522)
(344823, 0.93982522)
(241301, 0.93982522)
(405374, 0.93982522)
(36970, 0.93982522)
(302140, 0.93982522)
(171997, 0.93982522)
(158603, 0.93982522)
(416522, 0.93982522)
(387924, 0.93982522)
(399350, 0.93982522)
(338001, 0.93981826)
(365671, 0.93981826)
(30755, 0.93981826)
(159537, 0.93981826)
(292962, 0.93981826)
(205713, 0.93981826)
(186706, 0.93981826)
(99930, 0.93981826)
(392162, 0.93981826)
(79749, 0.93981826)
(142633, 0.93981826)
(214172, 0.93981826)
(416834, 0.93981826)
(73051, 0.93981826)
(23894, 0.93981826)
(96050, 0.93981826)
(188578, 0.93981826)
(42801, 0.93981826)
(315314, 0.93981826)
(389643, 0.93981826)
(324334, 0.93981826)
(388249, 0.93981826)
(393044, 0.93981826)
(6893, 0.93981826)
(167920, 0.93981826)
(300163, 0.93981826)
(406857, 0.93981826)
(118807, 0.93981826)
(405167, 0.93981826)
(359997, 0.93981826)
(106296, 0.93981826)
(120123, 0.93981826)
(250780, 0.93981826)
